name,latitude,longitude,country,region,elevation_m,population,feature_type,geoname_id
Mount Masaraga,13.3101,123.5977,Philippines,Bicol Region,1328,0,mountain,1700737
Mount Cuadrado,15.0321,120.34658,Philippines,Central Luzon,1324,0,mountain,1716679
Mount Tiguran,10.8731,122.2299,Philippines,Western Visayas,1324,0,mountain,1682140
Mount Pao,18.4151,120.87348,Philippines,Ilocos,1323,0,mountain,1694875
Mount Salibugnug,8.25028,125.50556,Philippines,Caraga,1316,0,mountain,1690895
Mount Fechel,12.9902,121.0168,Philippines,Mimaropa,1314,0,mountain,1713655
Mount Tinaclauan,17.7876,121.1215,Philippines,Cordillera,1313,0,mountain,1682000
Mount Dagot,17.8431,120.7019,Philippines,Cordillera,1305,0,mountain,1716225
Mount Damchak,16.4411,120.773,Philippines,Cordillera,1305,0,mountain,7638793
Mount Pacok,17.5258,121.2241,Philippines,Cordillera,1303,0,mountain,1696815
Mount Sandig,17.7955,121.0946,Philippines,Cordillera,1302,0,mountain,1690153
Mount Sumarangay,8.04917,124.45972,Philippines,Autonomous Region in Muslim Mindanao,1294,0,mountain,1685320
Mount Sibulan,6.91889,125.40556,Philippines,Davao Region,1292,0,mountain,1686724
Mount Darac,16.4898,120.7873,Philippines,Cordillera,1292,0,mountain,1715510
Mount Gitangilang,8.47056,125.26361,Philippines,Caraga,1282,0,mountain,1712830
Mount Naliwatan,11.6497,124.4618,Philippines,Eastern Visayas,1282,0,mountain,1698466
Mount Malambo,7.64083,125.30306,Philippines,Northern Mindanao,1278,0,mountain,1703147
Balokon Mountain,6.05167,124.70472,Philippines,Soccsksargen,1276,0,mountain,1727884
Cabaay Mountain,6.05025,124.72959,Philippines,Soccsksargen,1276,0,mountain,1722066
Mount Tongungan,16.8869,120.677,Philippines,Cordillera,1273,0,mountain,1681456
Thumb Peak,9.79194,118.60389,Philippines,Mimaropa,1268,0,mountain,1682459
Mount Sayoa,11.52333,124.57528,Philippines,Eastern Visayas,1266,0,mountain,1966519
Mount Indian,16.469,120.7648,Philippines,Cordillera,1263,0,mountain,1710763
Mount Maclayao,13.525,122.43806,Philippines,Calabarzon,1260,0,mountain,1704277
Mount Calugong,16.3873,120.51484,Philippines,Ilocos,1253,0,mountain,1720097
Mount Amungan,8.10722,124.45611,Philippines,Autonomous Region in Muslim Mindanao,1253,0,mountain,1730955
Mount Natib,14.7125,120.4006,Philippines,Central Luzon,1253,0,mountain,1697988
Mount Katubuan,7.8196,123.9117,Philippines,Northern Mindanao,1251,0,mountain,1958609
Nannak Mount,16.56998,121.07984,Philippines,Cagayan Valley,1250,0,mountain,1698244
Mount Merui,7.55944,125.26722,Philippines,Northern Mindanao,1248,0,mountain,1996246
Mount Obulon,8.80167,124.86111,Philippines,Northern Mindanao,1245,0,mountain,1697337
Mount Nagapu,17.8067,120.5886,Philippines,Ilocos,1245,0,mountain,1698807
Mount Lipay,17.7565,121.1831,Philippines,Cordillera,1243,0,mountain,1706037
Mount Indocay,8.79333,125.30694,Philippines,Caraga,1242,0,mountain,1710758
Escarpado Peak,10.11741,119.1552,Philippines,Mimaropa,1242,0,mountain,1713809
Mount Kanabuy,16.2047,121.02364,Philippines,Cagayan Valley,1238,0,mountain,1709471
Mount Tinimogan,17.087,120.7962,Philippines,Cordillera,1237,0,mountain,7633930
Mount Busingan,17.4917,121.0783,Philippines,Cordillera,1224,0,mountain,1722287
Mount Kibongcal,5.96167,125.60194,Philippines,Davao Region,1224,0,mountain,1708855
Mount Kibundo,7.62333,125.26806,Philippines,Northern Mindanao,1205,0,mountain,1708840
Mount Tiglayo,11.11253,122.32921,Philippines,Western Visayas,1205,0,mountain,1682195
Mount Micnic,13.2545,120.8289,Philippines,Mimaropa,1201,0,mountain,1699777
Mount Blik,6.95917,124.21556,Philippines,Autonomous Region in Muslim Mindanao,1198,0,mountain,1724598
Mount Maybinulong,17.53702,121.28055,Philippines,Cordillera,1198,0,mountain,1700037
